organization,majority,C1,C2,C3,C4
1,C4,0,1.4285714285714286,1.4285714285714286,97.14285714285714
2,C3,11.428571428571429,0,88.57142857142857,0
3,C4,0,1.4285714285714286,2.857142857142857,95.71428571428572
4,C2,0,71.42857142857143,0,28.57142857142857
5,C2,0,55.714285714285715,0,44.285714285714285
6,C3,4.285714285714286,0,95.71428571428572,0
7,C3,7.142857142857142,0,92.85714285714286,0
8,C3,0,0,100,0
9,C2,0,100,0,0
10,C4,0,1.4285714285714286,0,98.57142857142858
11,C1,100,0,0,0
12,C2,0,67.14285714285714,1.4285714285714286,31.428571428571427
13,C2,0,100,0,0
14,C4,0,34.285714285714285,0,65.71428571428571
15,C3,7.142857142857142,0,92.85714285714286,0
16,C4,0,1.4285714285714286,1.4285714285714286,97.14285714285714
17,C2,0,97.14285714285714,0,2.857142857142857
18,C4,0,0,2.857142857142857,97.14285714285714
19,C4,0,4.285714285714286,0,95.71428571428572
20,C3,2.857142857142857,0,97.14285714285714,0
